acc,clustid,clustid_key,genename,key,proteinname,uniprot_link
Q9NUP9,9,9_55327,LIN7C,55327,"Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)
",http://www.uniprot.org/uniprot/Q9NUP9
O75970,9,9_8777,MPDZ,8777,"Multiple PDZ domain protein (Multi-PDZ domain protein 1)
",http://www.uniprot.org/uniprot/O75970
O14936,9,9_8573,CASK,8573,"Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)
",http://www.uniprot.org/uniprot/O14936
Q3KR37,10,10_57476,GRAMD1B,57476,"GRAM domain-containing protein 1B
",http://www.uniprot.org/uniprot/Q3KR37
Q6P4E1,10,10_113201,CASC4,113201,"Protein CASC4 (Cancer susceptibility candidate gene 4 protein)
",http://www.uniprot.org/uniprot/Q6P4E1
Q96HH9,10,10_65983,GRAMD3,65983,"GRAM domain-containing protein 3 (HCV NS3-transactivated protein 2)
",http://www.uniprot.org/uniprot/Q96HH9
O75071,10,10_9813,EFCAB14,9813,"EF-hand calcium-binding domain-containing protein 14
",http://www.uniprot.org/uniprot/O75071
O43707,11,11_81,ACTN4,81,"Alpha-actinin-4 (Non-muscle alpha-actinin 4)
",http://www.uniprot.org/uniprot/O43707
P04114,11,11_338,APOB,338,"Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]
",http://www.uniprot.org/uniprot/P04114
Q9NQC7,12,12_1540,CYLD,1540,"Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)
",http://www.uniprot.org/uniprot/Q9NQC7
Q9NYA1,12,12_8877,SPHK1,8877,"Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91)
",http://www.uniprot.org/uniprot/Q9NYA1
Q9Y3E0,13,13_51026,GOLT1B,51026,"Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a)
",http://www.uniprot.org/uniprot/Q9Y3E0
O14684,13,13_9536,PTGES,9536,"Prostaglandin E synthase (EC 5.3.99.3) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)
",http://www.uniprot.org/uniprot/O14684
Q9UBU6,13,13_51439,FAM8A1,51439,"Protein FAM8A1 (Autosomal highly conserved protein)
",http://www.uniprot.org/uniprot/Q9UBU6
O94919,13,13_23052,ENDOD1,23052,"Endonuclease domain-containing 1 protein (EC 3.1.30.-)
",http://www.uniprot.org/uniprot/O94919
Q9UI14,13,13_10567,RABAC1,10567,"Prenylated Rab acceptor protein 1 (PRA1 family protein 1)
",http://www.uniprot.org/uniprot/Q9UI14
Q9HBL7,13,13_55848,PLGRKT,55848,"Plasminogen receptor (KT) (Plg-R(KT))
",http://www.uniprot.org/uniprot/Q9HBL7
P50750,14,14_1025,CDK9,1025,"Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)
",http://www.uniprot.org/uniprot/P50750
P42568,14,14_4300,MLLT3,4300,"Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3)
",http://www.uniprot.org/uniprot/P42568
P51825,14,14_4299,AFF1,4299,"AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)
",http://www.uniprot.org/uniprot/P51825
Q03111,14,14_4298,MLLT1,4298,"Protein ENL (YEATS domain-containing protein 1)
",http://www.uniprot.org/uniprot/Q03111
O60563,14,14_904,CCNT1,904,"Cyclin-T1 (CycT1) (Cyclin-T)
",http://www.uniprot.org/uniprot/O60563
O60583,14,14_905,CCNT2,905,"Cyclin-T2 (CycT2)
",http://www.uniprot.org/uniprot/O60583
O00472,14,14_22936,ELL2,22936,"RNA polymerase II elongation factor ELL2
",http://www.uniprot.org/uniprot/O00472
Q9UHB7,14,14_27125,AFF4,27125,"AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)
",http://www.uniprot.org/uniprot/Q9UHB7
Q96BK5,15,15_54984,PINX1,54984,"PIN2/TERF1-interacting telomerase inhibitor 1 (Liver-related putative tumor suppressor) (Pin2-interacting protein X1) (Protein 67-11-3) (TRF1-interacting protein 1)
",http://www.uniprot.org/uniprot/Q96BK5
P54274,15,15_7013,TERF1,7013,"Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)
",http://www.uniprot.org/uniprot/P54274
Q6NT76,16,16_79618,HMBOX1,79618,"Homeobox-containing protein 1
",http://www.uniprot.org/uniprot/Q6NT76
Q7Z6J8,16,16_90025,UBE3D,90025,"E3 ubiquitin-protein ligase E3D (EC 6.3.2.-) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)
",http://www.uniprot.org/uniprot/Q7Z6J8
Q9Y316,16,16_51072,MEMO1,51072,"Protein MEMO1 (C21orf19-like protein) (Hepatitis C virus NS5A-transactivated protein 7) (HCV NS5A-transactivated protein 7) (Mediator of ErbB2-driven cell motility 1) (Mediator of cell motility 1) (Memo-1)
",http://www.uniprot.org/uniprot/Q9Y316
Q8NFP9,17,17_26960,NBEA,26960,"Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B)
",http://www.uniprot.org/uniprot/Q8NFP9
P50851,17,17_987,LRBA,987,"Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)
",http://www.uniprot.org/uniprot/P50851
Q7Z3Z2,17,17_343035,RD3,343035,"Protein RD3 (Retinal degeneration protein 3)
",http://www.uniprot.org/uniprot/Q7Z3Z2
Q9UPY6,18,18_10810,WASF3,10810,"Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3)
",http://www.uniprot.org/uniprot/Q9UPY6
O43639,18,18_8440,NCK2,8440,"Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)
",http://www.uniprot.org/uniprot/O43639
O00401,18,18_8976,WASL,8976,"Neural Wiskott-Aldrich syndrome protein (N-WASP)
",http://www.uniprot.org/uniprot/O00401
P53667,19,19_3984,LIMK1,3984,"LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)
",http://www.uniprot.org/uniprot/P53667
Q5JXC2,19,19_60672,MIIP,60672,"Migration and invasion-inhibitory protein (IGFBP2-binding protein) (Invasion-inhibitory protein 45) (IIp45)
",http://www.uniprot.org/uniprot/Q5JXC2
Q8NE01,20,20_26505,CNNM3,26505,"Metal transporter CNNM3 (Ancient conserved domain-containing protein 3) (Cyclin-M3)
",http://www.uniprot.org/uniprot/Q8NE01
P01920,20,20_3119,HLA-DQB1,3119,"HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)
",http://www.uniprot.org/uniprot/P01920
Q9NRU3,20,20_26507,CNNM1,26507,"Metal transporter CNNM1 (Ancient conserved domain-containing protein 1) (Cyclin-M1)
",http://www.uniprot.org/uniprot/Q9NRU3
Q9NX36,21,21_54943,DNAJC28,54943,"DnaJ homolog subfamily C member 28
",http://www.uniprot.org/uniprot/Q9NX36
P24539,21,21_515,ATP5F1,515,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)
",http://www.uniprot.org/uniprot/P24539
Q8N140,22,22_493861,EID3,493861,"EP300-interacting inhibitor of differentiation 3 (EID-3) (E1A-like inhibitor of differentiation 3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B)
",http://www.uniprot.org/uniprot/Q8N140
Q86UE8,22,22_11011,TLK2,11011,"Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)
",http://www.uniprot.org/uniprot/Q86UE8
P23193,23,23_6917,TCEA1,6917,"Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)
",http://www.uniprot.org/uniprot/P23193
Q9ULC4,23,23_28985,MCTS1,28985,"Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies)
",http://www.uniprot.org/uniprot/Q9ULC4
Q00688,23,23_2287,FKBP3,2287,"Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)
",http://www.uniprot.org/uniprot/Q00688
B7ZAP0,24,24_9910,RABGAP1L,9910,"Rab GTPase-activating protein 1-like, isoform 10
",http://www.uniprot.org/uniprot/B7ZAP0
Q9Y3P9,24,24_23637,RABGAP1,23637,"Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)
",http://www.uniprot.org/uniprot/Q9Y3P9
Q5TGL8,24,24_221749,PXDC1,221749,"PX domain-containing protein 1
",http://www.uniprot.org/uniprot/Q5TGL8
Q9H2M3,25,25_23743,BHMT2,23743,"S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)
",http://www.uniprot.org/uniprot/Q9H2M3
Q93088,25,25_635,BHMT,635,"Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)
",http://www.uniprot.org/uniprot/Q93088
Q32P51,26,26_144983,HNRNPA1L2,144983,"Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)
",http://www.uniprot.org/uniprot/Q32P51
P36776,26,26_9361,LONP1,9361,"Lon protease homolog, mitochondrial (EC 3.4.21.-) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)
",http://www.uniprot.org/uniprot/P36776
Q96DZ1,27,27_27248,ERLEC1,27248,"Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein)
",http://www.uniprot.org/uniprot/Q96DZ1
Q68DX3,27,27_143162,FRMPD2,143162,"FERM and PDZ domain-containing protein 2 (PDZ domain-containing protein 4) (PDZ domain-containing protein 5C)
",http://www.uniprot.org/uniprot/Q68DX3
Q9UBV2,27,27_6400,SEL1L,6400,"Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L)
",http://www.uniprot.org/uniprot/Q9UBV2
Q13438,27,27_10956,OS9,10956,"Protein OS-9 (Amplified in osteosarcoma 9)
",http://www.uniprot.org/uniprot/Q13438
Q13522,28,28_5502,PPP1R1A,5502,"Protein phosphatase 1 regulatory subunit 1A (Protein phosphatase inhibitor 1) (I-1) (IPP-1)
",http://www.uniprot.org/uniprot/Q13522
Q8N4L4,28,28_374768,SPEM1,374768,"Spermatid maturation protein 1
",http://www.uniprot.org/uniprot/Q8N4L4
Q8IX12,29,29_55749,CCAR1,55749,"Cell division cycle and apoptosis regulator protein 1 (Cell cycle and apoptosis regulatory protein 1) (CARP-1) (Death inducer with SAP domain)
",http://www.uniprot.org/uniprot/Q8IX12
P11047,29,29_3915,LAMC1,3915,"Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)
",http://www.uniprot.org/uniprot/P11047
Q9BVC3,30,30_79075,DSCC1,79075,"Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1 homolog)
",http://www.uniprot.org/uniprot/Q9BVC3
P0CG13,30,30_54921,CHTF8,54921,"Chromosome transmission fidelity protein 8 homolog (hCTF8)
",http://www.uniprot.org/uniprot/P0CG13
Q9C0F1,31,31_80817,CEP44,80817,"Centrosomal protein of 44 kDa (Cep44) (HBV PreS1-transactivated protein 3) (PS1TP3)
",http://www.uniprot.org/uniprot/Q9C0F1
Q8TC44,31,31_282809,POC1B,282809,"POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)
",http://www.uniprot.org/uniprot/Q8TC44
O43172,32,32_9128,PRPF4,9128,"U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)
",http://www.uniprot.org/uniprot/O43172
O43290,32,32_9092,SART1,9092,"U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)
",http://www.uniprot.org/uniprot/O43290
Q8WUW1,33,33_55845,BRK1,55845,"Protein BRICK1 (BRK1)
",http://www.uniprot.org/uniprot/Q8WUW1
Q6T4R5,33,33_4810,NHS,4810,"Nance-Horan syndrome protein (Congenital cataracts and dental anomalies protein)
",http://www.uniprot.org/uniprot/Q6T4R5
Q70E73,33,33_65059,RAPH1,65059,"Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1)
",http://www.uniprot.org/uniprot/Q70E73
Q8IZP0,33,33_10006,ABI1,10006,"Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)
",http://www.uniprot.org/uniprot/Q8IZP0
Q13595,34,34_29896,TRA2A,29896,"Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)
",http://www.uniprot.org/uniprot/Q13595
P49759,34,34_1195,CLK1,1195,"Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)
",http://www.uniprot.org/uniprot/P49759
P07205,35,35_5232,PGK2,5232,"Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)
",http://www.uniprot.org/uniprot/P07205
Q9BRA2,35,35_84817,TXNDC17,84817,"Thioredoxin domain-containing protein 17 (14 kDa thioredoxin-related protein) (TRP14) (Protein 42-9-9) (Thioredoxin-like protein 5)
",http://www.uniprot.org/uniprot/Q9BRA2
P54819,35,35_204,AK2,204,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]
",http://www.uniprot.org/uniprot/P54819
P43897,35,35_10102,TSFM,10102,"Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)
",http://www.uniprot.org/uniprot/P43897
Q99999,36,36_9514,GAL3ST1,9514,"Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase)
",http://www.uniprot.org/uniprot/Q99999
Q00888,36,36_5672,PSG4,5672,"Pregnancy-specific beta-1-glycoprotein 4 (PS-beta-G-4) (PSBG-4) (Pregnancy-specific glycoprotein 4) (Pregnancy-specific beta-1-glycoprotein 9) (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9)
",http://www.uniprot.org/uniprot/Q00888
Q9UQ72,36,36_5680,PSG11,5680,"Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)
",http://www.uniprot.org/uniprot/Q9UQ72
P49715,37,37_1050,CEBPA,1050,"CCAAT/enhancer-binding protein alpha (C/EBP alpha)
",http://www.uniprot.org/uniprot/P49715
Q96C34,37,37_146923,RUNDC1,146923,"RUN domain-containing protein 1
",http://www.uniprot.org/uniprot/Q96C34
Q15276,37,37_9135,RABEP1,9135,"Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)
",http://www.uniprot.org/uniprot/Q15276
Q5T5S1,37,37_84960,CCDC183,84960,"Coiled-coil domain-containing protein 183
",http://www.uniprot.org/uniprot/Q5T5S1
Q9NRG9,38,38_8086,AAAS,8086,"Aladin (Adracalin)
",http://www.uniprot.org/uniprot/Q9NRG9
Q6NUQ4,38,38_54867,TMEM214,54867,"Transmembrane protein 214
",http://www.uniprot.org/uniprot/Q6NUQ4
Q53GS7,38,38_2733,GLE1,2733,"Nucleoporin GLE1 (hGLE1) (GLE1-like protein)
",http://www.uniprot.org/uniprot/Q53GS7
Q9NXE4,38,38_55627,SMPD4,55627,"Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)
",http://www.uniprot.org/uniprot/Q9NXE4
P63279,38,38_7329,UBE2I,7329,"SUMO-conjugating enzyme UBC9 (EC 6.3.2.-) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)
",http://www.uniprot.org/uniprot/P63279
P61956,38,38_6613,SUMO2,6613,"Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B)
",http://www.uniprot.org/uniprot/P61956
Q96SK2,38,38_84928,TMEM209,84928,"Transmembrane protein 209
",http://www.uniprot.org/uniprot/Q96SK2
Q9BTX1,38,38_55706,NDC1,55706,"Nucleoporin NDC1 (hNDC1) (Transmembrane protein 48)
",http://www.uniprot.org/uniprot/Q9BTX1
Q9HC62,38,38_59343,SENP2,59343,"Sentrin-specific protease 2 (EC 3.4.22.68) (Axam2) (SMT3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2)
",http://www.uniprot.org/uniprot/Q9HC62
P18754,38,38_1104,RCC1,1104,"Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)
",http://www.uniprot.org/uniprot/P18754
P63165,38,38_7341,SUMO1,7341,"Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)
",http://www.uniprot.org/uniprot/P63165
Q9UBU9,38,38_10482,NXF1,10482,"Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)
",http://www.uniprot.org/uniprot/Q9UBU9
O14524,38,38_23306,NEMP1,23306,"Nuclear envelope integral membrane protein 1
",http://www.uniprot.org/uniprot/O14524
O43156,39,39_9675,TTI1,9675,"TELO2-interacting protein 1 homolog (Protein SMG10)
",http://www.uniprot.org/uniprot/O43156
Q96QU8,39,39_23214,XPO6,23214,"Exportin-6 (Exp6) (Ran-binding protein 20)
",http://www.uniprot.org/uniprot/Q96QU8
Q6YHU6,39,39_63892,THADA,63892,"Thyroid adenoma-associated protein (Gene inducing thyroid adenomas protein)
",http://www.uniprot.org/uniprot/Q6YHU6
P30626,40,40_6717,SRI,6717,"Sorcin (22 kDa protein) (CP-22) (CP22) (V19)
",http://www.uniprot.org/uniprot/P30626
P34949,40,40_4351,MPI,4351,"Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)
",http://www.uniprot.org/uniprot/P34949
Q8TEQ6,41,41_25929,GEMIN5,25929,"Gem-associated protein 5 (Gemin5)
",http://www.uniprot.org/uniprot/Q8TEQ6
P47974,41,41_678,ZFP36L2,678,"Zinc finger protein 36, C3H1 type-like 2 (ZFP36-like 2) (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (Protein TIS11D)
",http://www.uniprot.org/uniprot/P47974
